benign.location_x,forward.location_x,reverse.location_x
-38.92020797729492,-59.76554489135742,-80.22883605957031
-38.57081985473633,-59.70320510864258,-80.25312042236328
-38.21192169189453,-59.652347564697266,-80.27006530761719
-37.855796813964844,-59.6049919128418,-80.28836822509766
-37.427608489990234,-59.552738189697266,-80.30697631835938
-36.90392303466797,-59.50238037109375,-80.32563781738281
-36.545127868652344,-59.45665740966797,-80.34637451171875
-36.2256965637207,-59.41084289550781,-80.36515045166016
-35.86540603637695,-59.36625289916992,-80.38414001464844
-35.58387756347656,-59.3221549987793,-80.40226745605469
-35.247169494628906,-59.27967071533203,-80.42048645019531
-34.97269058227539,-59.23333740234375,-80.43946838378906
-34.67430114746094,-59.18775177001953,-80.45828247070312
-34.39093017578125,-59.14133071899414,-80.47695922851562
-34.11812210083008,-59.09116744995117,-80.4957275390625
-33.83406448364258,-59.04405975341797,-80.51483154296875
-33.546627044677734,-59.001068115234375,-80.53365325927734
-33.224369049072266,-58.96134948730469,-80.55672454833984
-32.910377502441406,-58.921024322509766,-80.57777404785156
-32.59513473510742,-58.87980651855469,-80.59908294677734
-32.25811767578125,-58.83897018432617,-80.62071990966797
-31.96397590637207,-58.79907989501953,-80.64227294921875
-31.702728271484375,-58.75716781616211,-80.66598510742188
-31.43606185913086,-58.71305847167969,-80.6871109008789
-31.16387176513672,-58.67598342895508,-80.70989990234375
-30.903217315673828,-58.63905715942383,-80.73110961914062
-30.62769889831543,-58.601497650146484,-80.75151062011719
-30.360990524291992,-58.56545639038086,-80.77287292480469
-29.97172737121582,-58.52579116821289,-80.79523468017578
-29.612632751464844,-58.47749710083008,-80.81905364990234
-29.31551170349121,-58.43282699584961,-80.84342193603516
-28.996185302734375,-58.391727447509766,-80.86688995361328
-28.69599723815918,-58.3508186340332,-80.90193939208984
-28.349872589111328,-58.311580657958984,-80.94295501708984
-27.920419692993164,-58.270198822021484,-80.96669006347656
-27.593950271606445,-58.2214469909668,-80.9873046875
-27.16713523864746,-58.18354797363281,-81.00963592529297
-26.815555572509766,-58.14319610595703,-81.03028869628906
-26.426156997680664,-58.0998649597168,-81.0552749633789
-26.07973289489746,-58.065731048583984,-81.08119201660156
-25.789403915405273,-58.031551361083984,-81.1050033569336
-25.461402893066406,-57.99772262573242,-81.12680053710938
-25.131383895874023,-57.965389251708984,-81.14783477783203
-24.843618392944336,-57.93229675292969,-81.1698989868164
-24.55133819580078,-57.89849090576172,-81.1918716430664
-24.286693572998047,-57.85764694213867,-81.21369171142578
-24.013195037841797,-57.82157897949219,-81.23821258544922
-23.72756576538086,-57.78977966308594,-81.26382446289062
-23.433517456054688,-57.7562255859375,-81.2901611328125
-23.067102432250977,-57.722801208496094,-81.31312561035156
-22.501432418823242,-57.69123840332031,-81.33956146240234
-22.067827224731445,-57.65913009643555,-81.3615493774414
-21.782142639160156,-57.62742233276367,-81.38536071777344
-21.436635971069336,-57.59694290161133,-81.40878295898438
-21.13953971862793,-57.56520462036133,-81.43254852294922
-20.746721267700195,-57.53399658203125,-81.45575714111328
-20.333587646484375,-57.50432586669922,-81.48017883300781
-20.015722274780273,-57.47248840332031,-81.50420379638672
-19.669986724853516,-57.43794250488281,-81.5274429321289
-19.376270294189453,-57.40517044067383,-81.5582275390625
-19.105266571044922,-57.36463928222656,-81.58663177490234
-18.785341262817383,-57.27304458618164,-81.61592864990234
-18.45351219177246,-57.22507095336914,-81.64714813232422
-18.15375518798828,-57.19194793701172,-81.67838287353516
-17.843931198120117,-57.16391372680664,-81.70872497558594
-17.454936981201172,-57.13614273071289,-81.73328399658203
-17.12814712524414,-57.10137176513672,-81.75716400146484
-16.753612518310547,-57.06663131713867,-81.78282165527344
-16.46253776550293,-57.03584289550781,-81.8058853149414
-16.104961395263672,-57.00952911376953,-81.83084106445312
-15.780105590820312,-56.9831428527832,-81.85494232177734
-15.475007057189941,-56.95489501953125,-81.87918853759766
-15.170315742492676,-56.92497253417969,-81.90463256835938
-14.86622428894043,-56.89752960205078,-81.93025970458984
-14.592399597167969,-56.870018005371094,-81.95417022705078
-14.303970336914062,-56.84430694580078,-81.97942352294922
-14.015148162841797,-56.814666748046875,-82.00910186767578
-13.678746223449707,-56.78742980957031,-82.04237365722656
-13.398969650268555,-56.76129150390625,-82.0763931274414
-13.100316047668457,-56.73643493652344,-82.1085205078125
