benign_rotation,replay_rotation
-89.35775756835938,-15.897233963012695
-89.35775756835938,-15.897233963012695
-89.35775756835938,-15.897233963012695
-89.35775756835938,-15.897233963012695
-89.35775756835938,-15.897233963012695
-89.35775756835938,-15.897233963012695
-89.35775756835938,-15.897478103637695
-89.35775756835938,-15.896347045898438
-89.35775756835938,-15.896347045898438
-89.35775756835938,-15.89586067199707
-89.35775756835938,-15.894700050354004
-89.35775756835938,-15.886950492858887
-89.35775756835938,-15.879715919494629
-89.35775756835938,-15.878681182861328
-89.35775756835938,-15.870591163635254
-89.35775756835938,-15.861953735351562
-89.3567886352539,-15.861708641052246
-89.34009552001953,-15.841080665588379
-89.31393432617188,-15.817248344421387
-89.29927062988281,-15.790146827697754
-89.26837158203125,-15.769209861755371
-89.24980926513672,-15.748370170593262
-89.22600555419922,-15.731888771057129
-89.2025146484375,-15.727283477783203
-89.1961669921875,-15.704147338867188
-89.17489624023438,-15.675921440124512
-89.16580200195312,-15.647631645202637
-89.14485931396484,-15.620866775512695
-89.13282775878906,-15.589497566223145
-89.10845947265625,-15.557331085205078
-89.08065795898438,-15.528094291687012
-89.04817962646484,-15.500537872314453
-89.0162582397461,-15.472553253173828
-88.98210144042969,-15.443345069885254
-88.94786834716797,-15.41704273223877
-88.9129867553711,-15.391618728637695
-88.87894439697266,-15.32432746887207
-88.84396362304688,-15.157670974731445
-88.81148529052734,-14.714436531066895
-88.77896118164062,-14.47850227355957
-88.79098510742188,-14.235737800598145
-88.7945785522461,-13.98222827911377
-88.78587341308594,-13.724141120910645
-88.77537536621094,-13.480063438415527
-88.76570892333984,-13.20109748840332
-88.75614166259766,-12.82414722442627
-88.744140625,-11.744677543640137
-88.73616790771484,-11.165635108947754
-88.72869873046875,-10.623335838317871
-88.7216796875,-10.135848045349121
-88.68531036376953,-9.59449577331543
-88.6505126953125,-9.082042694091797
-88.62702178955078,-8.766704559326172
-88.6077880859375,-8.438364028930664
-88.59210205078125,-8.146949768066406
-88.57644653320312,-7.881782531738281
-88.56228637695312,-7.628607749938965
-88.54806518554688,-7.404884338378906
-88.53692626953125,-7.19782018661499
-88.46237182617188,-6.914373874664307
-88.33561706542969,-6.56137752532959
-88.23628997802734,-6.274816513061523
-88.17434692382812,-5.987187385559082
-88.114501953125,-5.726352214813232
-88.06103515625,-5.499332427978516
-88.00814056396484,-5.285067081451416
-87.9615707397461,-5.085360527038574
-87.85250854492188,-4.906038284301758
-87.21763610839844,-4.66476583480835
-87.0580062866211,-4.350588321685791
-86.9433822631836,-4.086061477661133
-86.50707244873047,-3.8507094383239746
-85.34417724609375,-3.6672070026397705
-84.80327606201172,-3.4229745864868164
-84.45238494873047,-3.039978504180908
-84.29148864746094,-2.614136219024658
-84.18755340576172,-2.259613275527954
-84.12689208984375,-1.9397279024124146
-83.98766326904297,-1.506561279296875
-83.77235412597656,-0.9535827040672302
-83.55425262451172,-0.398284912109375
-83.31095123291016,0.08405425399541855
-83.13964080810547,0.5478976368904114
-82.95502471923828,0.9613224864006042
-82.81847381591797,1.322420358657837
-82.67244720458984,1.637621283531189
-82.576904296875,1.981005072593689
-82.40580749511719,2.5000319480895996
-82.12642669677734,3.1739115715026855
-81.86161804199219,3.852694034576416
-81.53469848632812,4.459072113037109
-81.25022888183594,5.003393173217773
-81.03427124023438,5.750960826873779
