benign_locationx,benign_locationy,replay_locationx,replay_locationy
-66.8895492553711,-41.81922149658203,-77.20530700683594,-56.88365936279297
-66.8895034790039,-41.81923294067383,-77.20530700683594,-56.88365936279297
-66.889404296875,-41.81924819946289,-77.20530700683594,-56.88365936279297
-66.88972473144531,-41.81924819946289,-77.20530700683594,-56.88365936279297
-66.88982391357422,-41.81924057006836,-77.20530700683594,-56.88365936279297
-66.89012908935547,-41.81926727294922,-77.20530700683594,-56.88365936279297
-66.89048767089844,-41.8192138671875,-77.20530700683594,-56.88365936279297
-66.89033508300781,-41.81918716430664,-77.20530700683594,-56.88365936279297
-66.8906478881836,-41.81922912597656,-77.20530700683594,-56.88365936279297
-66.89076232910156,-41.81922149658203,-77.20530700683594,-56.88365936279297
-66.89088439941406,-41.8192138671875,-77.20530700683594,-56.88365936279297
-66.89094543457031,-41.81919860839844,-77.20530700683594,-56.88365936279297
-66.8908462524414,-41.81919479370117,-77.20530700683594,-56.88365936279297
-66.89066314697266,-41.819217681884766,-77.20530700683594,-56.88365936279297
-66.89054870605469,-41.81920623779297,-77.20530700683594,-56.88365936279297
-66.89060974121094,-41.8192024230957,-77.20530700683594,-56.88365936279297
-66.89067077636719,-41.81919479370117,-77.20530700683594,-56.88365936279297
-66.89063262939453,-41.81919479370117,-77.20530700683594,-56.88365936279297
-66.89088439941406,-41.81914520263672,-77.20530700683594,-56.88365936279297
-66.89076232910156,-41.81916809082031,-77.20530700683594,-56.88365936279297
-66.89081573486328,-41.819149017333984,-77.20530700683594,-56.88365936279297
-66.89091491699219,-41.819129943847656,-77.20530700683594,-56.88365936279297
-66.89085388183594,-41.819149017333984,-77.20530700683594,-56.88365936279297
-66.89063262939453,-41.81919479370117,-77.20530700683594,-56.88365936279297
-66.89070892333984,-41.819175720214844,-77.20530700683594,-56.88365936279297
-66.8907470703125,-41.81916427612305,-77.20530700683594,-56.88365936279297
-66.89049530029297,-41.8192138671875,-77.20530700683594,-56.88365936279297
-66.89067840576172,-41.81916809082031,-77.20530700683594,-56.88365936279297
-66.89071655273438,-41.81916809082031,-77.20530700683594,-56.88365936279297
-66.89067840576172,-41.81916809082031,-77.20530700683594,-56.88365936279297
-66.89070892333984,-41.81916427612305,-77.20530700683594,-56.88365936279297
-66.89055633544922,-41.81919860839844,-77.20530700683594,-56.88365936279297
-66.89065551757812,-41.819175720214844,-77.20530700683594,-56.88365936279297
-66.89065551757812,-41.819175720214844,-77.20530700683594,-56.88365936279297
-66.89082336425781,-41.81911087036133,-77.20530700683594,-56.88365936279297
-66.89081573486328,-41.81910705566406,-77.20530700683594,-56.88365936279297
-66.89069366455078,-41.81888961791992,-77.20530700683594,-56.88365936279297
-66.890625,-41.81904220581055,-77.20530700683594,-56.88365936279297
-66.89059448242188,-41.81906509399414,-77.20530700683594,-56.88365936279297
-66.89049530029297,-41.81908416748047,-77.20530700683594,-56.88365936279297
-66.89051818847656,-41.81907653808594,-77.20530700683594,-56.88365936279297
-66.8905258178711,-41.81906509399414,-77.20530700683594,-56.88365936279297
-66.89046478271484,-41.81907653808594,-77.20530700683594,-56.88365936279297
-66.89042663574219,-41.8190803527832,-77.20530700683594,-56.88365936279297
-66.89035034179688,-41.819007873535156,-77.20530700683594,-56.88365936279297
-66.89027404785156,-41.81912612915039,-77.20530700683594,-56.88365936279297
-66.8899917602539,-41.8190803527832,-77.20530700683594,-56.88365936279297
-66.88996124267578,-41.81908416748047,-77.20530700683594,-56.88365936279297
-66.88967895507812,-41.81914520263672,-77.20530700683594,-56.88365936279297
-66.88946533203125,-41.81918716430664,-77.20530700683594,-56.88365936279297
-66.88923645019531,-41.81919860839844,-77.20530700683594,-56.88365936279297
-66.88921356201172,-41.819217681884766,-77.20530700683594,-56.88365936279297
-66.88937377929688,-41.81922149658203,-77.20530700683594,-56.88365936279297
