benign_locationx,benign_locationy,replay_locationx,replay_locationy
-81.70860290527344,-55.37142562866211,-85.66193389892578,-53.42942810058594
-81.43706512451172,-55.4796028137207,-85.45185089111328,-53.55249786376953
-81.18421936035156,-55.57722091674805,-85.23064422607422,-53.680789947509766
-80.93521118164062,-55.67149353027344,-85.0116958618164,-53.80646896362305
-80.69229125976562,-55.76203536987305,-84.662109375,-53.99987030029297
-80.4517822265625,-55.848548889160156,-84.33123779296875,-54.174739837646484
-80.1330795288086,-55.95600128173828,-84.06202697753906,-54.31438446044922
-79.89892578125,-56.032440185546875,-83.81578063964844,-54.44036102294922
-79.65664672851562,-56.110008239746094,-83.56986236572266,-54.56438446044922
-79.42013549804688,-56.1841926574707,-83.34912872314453,-54.67274856567383
-79.18242645263672,-56.25767135620117,-83.1234130859375,-54.77915954589844
-78.95275115966797,-56.32762908935547,-82.86429595947266,-54.89720916748047
-78.7242431640625,-56.39474105834961,-82.61901092529297,-55.00682067871094
-78.4871597290039,-56.460418701171875,-82.38273620605469,-55.11086654663086
-78.24786376953125,-56.523460388183594,-82.1622085571289,-55.20673370361328
-77.97959899902344,-56.59188461303711,-81.92433166503906,-55.30719757080078
-77.71979522705078,-56.65678024291992,-81.6956558227539,-55.399169921875
-77.46395111083984,-56.71952819824219,-81.46427917480469,-55.48916244506836
-77.19400787353516,-56.78232192993164,-81.23880004882812,-55.5750617980957
-76.92436981201172,-56.83848571777344,-81.01428985595703,-55.65925979614258
-76.52779388427734,-56.912864685058594,-80.78569793701172,-55.7440185546875
-76.21994018554688,-56.9678840637207,-80.5545654296875,-55.82857131958008
-75.94100952148438,-57.01618957519531,-80.31725311279297,-55.91262435913086
-75.68191528320312,-57.05923843383789,-80.06935119628906,-55.995609283447266
-75.40409851074219,-57.10359191894531,-79.80879211425781,-56.07964324951172
-75.1438980102539,-57.14387512207031,-79.55557250976562,-56.15945816040039
-74.89138793945312,-57.18193817138672,-79.24195861816406,-56.256351470947266
-74.61762237548828,-57.22216796875,-78.96826171875,-56.33974075317383
-74.37818908691406,-57.25666809082031,-78.71479797363281,-56.41422653198242
-74.14247131347656,-57.290199279785156,-78.47654724121094,-56.47975540161133
-73.88516235351562,-57.32455825805664,-78.23983001708984,-56.54186248779297
-73.63642120361328,-57.35493087768555,-78.00788116455078,-56.601043701171875
-73.37187957763672,-57.3857307434082,-77.76747131347656,-56.66107940673828
-73.11046600341797,-57.415287017822266,-77.52323913574219,-56.72074508666992
-72.86387634277344,-57.442508697509766,-77.27335357666016,-56.77886962890625
-72.6208267211914,-57.46870803833008,-77.03298950195312,-56.829490661621094
-72.37114715576172,-57.495155334472656,-76.78239440917969,-56.878177642822266
-72.10475158691406,-57.52280044555664,-76.53421020507812,-56.92344284057617
-71.85354614257812,-57.54684066772461,-76.28983306884766,-56.96608352661133
-71.61585235595703,-57.567508697509766,-76.02132415771484,-57.01116180419922
-71.35282897949219,-57.58949279785156,-75.76957702636719,-57.0521125793457
-71.06096649169922,-57.61309051513672,-75.51869201660156,-57.09174346923828
-70.7884521484375,-57.63460159301758,-75.26606750488281,-57.130516052246094
-70.50297546386719,-57.65653991699219,-75.0242691040039,-57.16669845581055
-70.21510314941406,-57.67811584472656,-74.75857543945312,-57.205711364746094
-69.94538116455078,-57.6960334777832,-74.48780822753906,-57.244651794433594
-69.65113830566406,-57.71147155761719,-74.20923614501953,-57.28400421142578
-69.38079071044922,-57.723876953125,-73.92288208007812,-57.32380294799805
-69.07572937011719,-57.73664474487305,-73.64869689941406,-57.35954284667969
-68.83035278320312,-57.74624252319336,-73.36803436279297,-57.392967224121094
-68.57901763916016,-57.75547790527344,-73.12504577636719,-57.42079162597656
-68.32925415039062,-57.762386322021484,-72.86843872070312,-57.44924545288086
-68.08670043945312,-57.76470184326172,-72.60829162597656,-57.477317810058594
-67.83863830566406,-57.76423263549805,-72.35610961914062,-57.50395965576172
-67.5953140258789,-57.76182174682617,-72.09920501708984,-57.530555725097656
-67.30156707763672,-57.757484436035156,-71.85051727294922,-57.55436706542969
-67.04981231689453,-57.752742767333984,-71.58993530273438,-57.576961517333984
-66.7968978881836,-57.74694061279297,-71.34635925292969,-57.59718704223633
-66.52456665039062,-57.73759078979492,-71.0976333618164,-57.617332458496094
-66.26185607910156,-57.72282409667969,-70.81700897216797,-57.63935089111328
-66.00163269042969,-57.70380401611328,-70.53291320800781,-57.66105270385742
-65.71129608154297,-57.67964553833008,-70.27775573730469,-57.68010711669922
-65.39051818847656,-57.65083694458008,-70.01738739013672,-57.697509765625
-65.10832977294922,-57.62409591674805,-69.75080871582031,-57.71185302734375
-64.8110122680664,-57.59192657470703,-69.4984130859375,-57.7236328125
-64.5031509399414,-57.54990768432617,-69.20751953125,-57.73587417602539
-64.24600982666016,-57.50938034057617,-68.92452239990234,-57.74693298339844
-63.992122650146484,-57.46609878540039,-68.63738250732422,-57.75739288330078
-63.68716812133789,-57.411048889160156,-68.35301208496094,-57.76702117919922
-63.32759475708008,-57.34351348876953,-68.08013916015625,-57.77381134033203
-63.07304000854492,-57.29205322265625,-67.7664566040039,-57.77543258666992
-62.81277084350586,-57.23255157470703,-67.51155853271484,-57.77383041381836
-62.5526123046875,-57.16610336303711,-67.24405670166016,-57.77016067504883
-62.30436325073242,-57.09855270385742,-66.9626235961914,-57.76477813720703
-62.05030059814453,-57.02648162841797,-66.66280364990234,-57.75777053833008
-61.8128776550293,-56.95698165893555,-66.38970184326172,-57.74843978881836
-61.50645065307617,-56.861106872558594,-66.13394927978516,-57.73422622680664
-61.17521667480469,-56.744564056396484,-65.86984252929688,-57.71483612060547
-60.875579833984375,-56.62993621826172,-65.61563873291016,-57.693538665771484
-60.61418151855469,-56.52605438232422,-65.3552017211914,-57.669769287109375
-60.342041015625,-56.41412353515625,-65.09774017333984,-57.644710540771484
-60.06126022338867,-56.291770935058594,-64.84587860107422,-57.61711883544922
-59.7854118347168,-56.1600227355957,-64.57970428466797,-57.581459045410156
-59.51329040527344,-56.01968765258789,-64.32115173339844,-57.54123306274414
-59.25768280029297,-55.88180160522461,-64.05340576171875,-57.49592590332031
-59.016361236572266,-55.7474365234375,-63.72568893432617,-57.43700408935547
-58.7978515625,-55.62020492553711,-63.42775344848633,-57.38114929199219
-58.56747817993164,-55.47602462768555,-63.14223861694336,-57.32357406616211
-58.34861755371094,-55.32859802246094,-62.8548698425293,-57.25733184814453
-58.14400863647461,-55.18354415893555,-62.58140563964844,-57.18716049194336
-57.903587341308594,-55.00666046142578,-62.29647445678711,-57.109256744384766
-57.685096740722656,-54.837615966796875,-62.04671859741211,-57.03817367553711
-57.47736358642578,-54.66449737548828,-61.79256057739258,-56.961326599121094
-57.276649475097656,-54.48530578613281,-61.53463363647461,-56.875213623046875
-57.08293151855469,-54.30414581298828,-61.28134536743164,-56.78290939331055
-56.88380813598633,-54.11160659790039,-61.04136276245117,-56.690643310546875
-56.69533157348633,-53.92052459716797,-60.799373626708984,-56.59403610229492
-56.4846076965332,-53.68918991088867,-60.557064056396484,-56.49436950683594
-56.28290557861328,-53.45024871826172,-60.30995559692383,-56.38771057128906
-56.08835983276367,-53.208011627197266,-60.061824798583984,-56.27176284790039
-55.90673065185547,-52.97370910644531,-59.81633758544922,-56.14810562133789
-55.73622131347656,-52.74208450317383,-59.57967758178711,-56.02297592163086
-55.5706672668457,-52.49787521362305,-59.32865524291992,-55.88563537597656
-55.419525146484375,-52.25090789794922,-59.0945930480957,-55.75423812866211
-55.29190444946289,-52.02061080932617,-58.8433837890625,-55.60677719116211
-55.170814514160156,-51.784324645996094,-58.58379364013672,-55.4428596496582
-55.05278778076172,-51.54015350341797,-58.32980728149414,-55.27063751220703
-54.92546844482422,-51.26420593261719,-58.090980529785156,-55.100955963134766
-54.806541442871094,-50.99658203125,-57.84647750854492,-54.92140579223633
-54.69881057739258,-50.74557876586914,-57.64134979248047,-54.76399612426758
-54.59416961669922,-50.49297332763672,-57.433006286621094,-54.59285354614258
-54.477210998535156,-50.200965881347656,-57.236907958984375,-54.4200325012207
-54.38052749633789,-49.953514099121094,-57.04420471191406,-54.24110794067383
-54.28902816772461,-49.709228515625,-56.85151672363281,-54.0556640625
-54.19699478149414,-49.44181442260742,-56.65557098388672,-53.85775375366211
-54.1070556640625,-49.160648345947266,-56.46120071411133,-53.646156311035156
-54.0299072265625,-48.90901565551758,-56.29098892211914,-53.447181701660156
-53.95014190673828,-48.63956832885742,-56.12300491333008,-53.240291595458984
-53.84497833251953,-48.27206802368164,-55.961063385009766,-53.03296661376953
-53.760711669921875,-47.95450973510742,-55.80362319946289,-52.82086181640625
-53.68868637084961,-47.6584358215332,-55.650794982910156,-52.59836959838867
-53.61518478393555,-47.339515686035156,-55.49869155883789,-52.35358810424805
-53.55604934692383,-47.07404708862305,-55.36028289794922,-52.10743713378906
-53.49541473388672,-46.7921142578125,-55.223514556884766,-51.844482421875
-53.437347412109375,-46.513587951660156,-55.086761474609375,-51.5659065246582
-53.38092803955078,-46.23566436767578,-54.95920944213867,-51.294189453125
-53.32874298095703,-45.96150207519531,-54.829681396484375,-51.00613784790039
-53.279964447021484,-45.68076705932617,-54.70943069458008,-50.7281379699707
-53.23647689819336,-45.41695022583008,-54.60122299194336,-50.46908187866211
-53.19587326049805,-45.161224365234375,-54.49833679199219,-50.21457290649414
-53.15433883666992,-44.890804290771484,-54.395790100097656,-49.953372955322266
-53.1137580871582,-44.61913299560547,-54.30158996582031,-49.70182418823242
-53.07479476928711,-44.351898193359375,-54.20470428466797,-49.420047760009766
-53.03730010986328,-44.07415771484375,-54.10979461669922,-49.12486267089844
-52.99689865112305,-43.74460983276367,-54.026268005371094,-48.85401153564453
-52.96316909790039,-43.45904541015625,-53.94699478149414,-48.58792495727539
-52.931800842285156,-43.184959411621094,-53.87294387817383,-48.33161163330078
-52.89219665527344,-42.824886322021484,-53.79907989501953,-48.06874465942383
-52.859397888183594,-42.51932907104492,-53.72774124145508,-47.800662994384766
-52.82282638549805,-42.16952133178711,-53.66200637817383,-47.531864166259766
-52.793514251708984,-41.85325241088867,-53.59965515136719,-47.26142501831055
-52.77042770385742,-41.57373046875,-53.540340423583984,-46.993797302246094
-52.74909591674805,-41.311492919921875,-53.48029708862305,-46.71394348144531
-52.72783660888672,-41.044189453125,-53.4176025390625,-46.41323471069336
-52.70686721801758,-40.77344512939453,-53.35770797729492,-46.11865234375
-52.68610382080078,-40.49879455566406,-53.30182647705078,-45.824951171875
-52.66776657104492,-40.22570037841797,-53.24894332885742,-45.51961898803711
-52.65171432495117,-39.9566535949707,-53.20478057861328,-45.25059127807617
-52.63572311401367,-39.6869010925293,-53.16066360473633,-44.9705810546875
-52.62001037597656,-39.416770935058594,-53.12138366699219,-44.71278381347656
-52.605506896972656,-39.16093826293945,-53.08095932006836,-44.43923568725586
-52.59093475341797,-38.896690368652344,-53.03851318359375,-44.124961853027344
-52.57705307006836,-38.63860321044922,-53.00544738769531,-43.85586166381836
-52.56338119506836,-38.37869644165039,-52.972190856933594,-43.57502365112305
-52.551429748535156,-38.1135139465332,-52.9403076171875,-43.29705810546875
-52.54041290283203,-37.83741760253906,-52.90962600708008,-43.02134323120117
-52.52936935424805,-37.56581497192383,-52.880165100097656,-42.7487678527832
-52.51778793334961,-37.27851867675781,-52.852439880371094,-42.485286712646484
